event_id,basin_id,basin_name,event_type,start_date,end_date,duration_months,peak_intensity,mean_intensity,total_intensity,lag_month,from_event_type,to_event_type,start_year,start_month,end_year,end_month
EVT00105,jialing,嘉陵江流域,drought,2020-05-01,2020-05-01,1,2.0168233764878964,2.0168233764878964,2.0168233764878964,,,,2020,5,2020,5
EVT00106,jialing,嘉陵江流域,flood_or_wet,2020-06-01,2020-08-01,3,2.858835361695468,2.433109900280652,7.299329700841957,,,,2020,6,2020,8
EVT00107,jialing,嘉陵江流域,FTD,2020-07-01,2020-09-01,3,4.044832946332528,4.044832946332528,4.044832946332528,2,flood_or_wet,drought,2020,7,2020,9
EVT00108,jialing,嘉陵江流域,FTD,2020-08-01,2020-09-01,2,5.067667179171719,5.067667179171719,5.067667179171719,1,flood_or_wet,drought,2020,8,2020,9
EVT00109,jialing,嘉陵江流域,DTF,2020-09-01,2020-10-01,2,3.780416368763274,3.780416368763274,3.780416368763274,1,drought,flood_or_wet,2020,9,2020,10
EVT00110,jialing,嘉陵江流域,drought,2020-09-01,2020-09-01,1,2.208831817476252,2.208831817476252,2.208831817476252,,,,2020,9,2020,9
EVT00111,jialing,嘉陵江流域,flood_or_wet,2020-10-01,2020-10-01,1,1.5715845512870221,1.5715845512870221,1.5715845512870221,,,,2020,10,2020,10
EVT00112,jialing,嘉陵江流域,DTF,2021-02-01,2021-04-01,3,3.0758696141396182,3.0758696141396182,3.0758696141396182,2,drought,flood_or_wet,2021,2,2021,4
EVT00113,jialing,嘉陵江流域,drought,2021-02-01,2021-02-01,1,1.4100820181649656,1.4100820181649656,1.4100820181649656,,,,2021,2,2021,2
EVT00114,jialing,嘉陵江流域,flood_or_wet,2021-04-01,2021-04-01,1,1.6657875959746526,1.6657875959746526,1.6657875959746526,,,,2021,4,2021,4
EVT00115,jialing,嘉陵江流域,flood_or_wet,2021-08-01,2021-10-01,3,3.3905786094258716,3.112594204051899,9.337782612155697,,,,2021,8,2021,10
EVT00116,jialing,嘉陵江流域,flood_or_wet,2022-04-01,2022-05-01,2,3.6516535600883726,2.422045976733812,4.844091953467624,,,,2022,4,2022,5
EVT00117,jialing,嘉陵江流域,FTD,2022-05-01,2022-07-01,3,3.41320189019362,3.41320189019362,3.41320189019362,2,flood_or_wet,drought,2022,5,2022,7
EVT00118,jialing,嘉陵江流域,drought,2022-07-01,2022-09-01,3,4.423334531811219,3.0037897076693816,9.011369123008144,,,,2022,7,2022,9
EVT00119,jialing,嘉陵江流域,drought,2023-01-01,2023-01-01,1,2.223449846220105,2.223449846220105,2.223449846220105,,,,2023,1,2023,1
EVT00120,jialing,嘉陵江流域,drought,2023-06-01,2023-06-01,1,1.749780282275895,1.749780282275895,1.749780282275895,,,,2023,6,2023,6
EVT00121,jialing,嘉陵江流域,drought,2023-12-01,2023-12-01,1,1.9257619135688049,1.9257619135688049,1.9257619135688049,,,,2023,12,2023,12
EVT00122,hanjiang,汉江流域,FTD,2001-01-01,2001-03-01,3,5.892154711493092,5.892154711493092,5.892154711493092,2,flood_or_wet,drought,2001,1,2001,3
EVT00123,hanjiang,汉江流域,flood_or_wet,2001-01-01,2001-02-01,2,3.5599250230711554,3.055492035372782,6.110984070745564,,,,2001,1,2001,2
EVT00124,hanjiang,汉江流域,FTD,2001-02-01,2001-03-01,2,4.883288736096346,4.883288736096346,4.883288736096346,1,flood_or_wet,drought,2001,2,2001,3
EVT00125,hanjiang,汉江流域,drought,2001-03-01,2001-03-01,1,2.3322296884219367,2.3322296884219367,2.3322296884219367,,,,2001,3,2001,3
EVT00126,hanjiang,汉江流域,drought,2001-05-01,2001-05-01,1,2.9459529933398985,2.9459529933398985,2.9459529933398985,,,,2001,5,2001,5
EVT00127,hanjiang,汉江流域,drought,2001-08-01,2001-09-01,2,3.2977343414871685,2.4895388113534946,4.979077622706989,,,,2001,8,2001,9
EVT00128,hanjiang,汉江流域,DTF,2001-11-01,2001-12-01,2,5.5379745967221226,5.5379745967221226,5.5379745967221226,1,drought,flood_or_wet,2001,11,2001,12
EVT00129,hanjiang,汉江流域,drought,2001-11-01,2001-11-01,1,2.386605357454216,2.386605357454216,2.386605357454216,,,,2001,11,2001,11
EVT00130,hanjiang,汉江流域,flood_or_wet,2001-12-01,2001-12-01,1,3.1513692392679067,3.1513692392679067,3.1513692392679067,,,,2001,12,2001,12
EVT00131,hanjiang,汉江流域,flood_or_wet,2002-03-01,2002-03-01,1,1.58529870626831,1.58529870626831,1.58529870626831,,,,2002,3,2002,3
EVT00132,hanjiang,汉江流域,FTD,2002-05-01,2002-07-01,3,5.145629708657655,5.145629708657655,5.145629708657655,2,flood_or_wet,drought,2002,5,2002,7
EVT00133,hanjiang,汉江流域,flood_or_wet,2002-05-01,2002-06-01,2,3.3233823160546545,2.984645437330239,5.969290874660478,,,,2002,5,2002,6
EVT00134,hanjiang,汉江流域,FTD,2002-06-01,2002-07-01,2,4.468155951208823,4.468155951208823,4.468155951208823,1,flood_or_wet,drought,2002,6,2002,7
EVT00135,hanjiang,汉江流域,drought,2002-07-01,2002-07-01,1,1.822247392603,1.822247392603,1.822247392603,,,,2002,7,2002,7
EVT00136,hanjiang,汉江流域,DTF,2002-10-01,2002-12-01,3,5.237977122451092,5.237977122451092,5.237977122451092,2,drought,flood_or_wet,2002,10,2002,12
