basin_name,year,drought_months,flood_months,dtf_count,ftd_count,mean_drought_intensity,mean_flood_intensity,max_drought_intensity,max_flood_intensity
汉江流域,2011,6,3,1,1,2.9207937180034915,2.298823049540844,5.115412297449655,3.4810199128211
汉江流域,2012,4,0,0,0,3.0670153405658382,0.0,4.637067734758939,0.0
汉江流域,2013,5,1,2,0,2.326864224553158,1.8933449608305446,3.6275287978272774,1.8933449608305446
汉江流域,2014,4,2,1,0,2.640375646795084,2.6116470701754375,3.660098101766204,2.6823379924590354
汉江流域,2015,0,3,0,0,0.0,2.6516083517244557,0.0,2.9718449405388503
汉江流域,2016,3,2,1,1,2.2840189032376372,2.386071031415037,3.5284350610763195,2.4198354525360815
汉江流域,2017,2,3,2,1,2.1236349129322685,2.998979046451184,2.334082508608237,4.033525564065479
汉江流域,2018,2,3,0,0,2.802371605400581,2.2937769422100387,3.5475182031551777,3.11006022450473
汉江流域,2019,4,1,3,1,2.024781425742458,1.6216329526936404,2.2406211743286883,1.6216329526936404
汉江流域,2020,1,4,1,0,2.4976503333865074,2.362314152395377,2.4976503333865074,3.858375105605795
汉江流域,2021,1,6,1,0,1.1537313898876727,2.2272041664436575,1.1537313898876727,3.8206833841530834
汉江流域,2022,2,1,0,0,3.622894850882556,3.3086648316215417,3.998990202192553,3.3086648316215417
汉江流域,2023,1,4,0,0,2.0422034095130575,1.896207447997192,2.0422034095130575,2.450794536414609
洞庭湖流域,2001,2,4,0,2,2.6537582520555762,1.4560261930046063,3.0643999286421977,1.8817087712817124
洞庭湖流域,2002,0,6,0,0,0.0,2.81137958582554,0.0,4.065303571125847
洞庭湖流域,2003,4,3,0,1,2.1039750824208237,1.235665756613723,2.366571007289817,1.3523649348137519
洞庭湖流域,2004,2,2,0,1,3.116474434956679,1.5344099438085852,3.820007143839189,2.032901907555378
洞庭湖流域,2005,4,3,1,2,2.058039547332826,2.199538602909581,2.252487142410886,2.744332242726994
洞庭湖流域,2006,1,1,0,0,2.230297678753412,3.502070785640288,2.230297678753412,3.502070785640288
洞庭湖流域,2007,6,0,0,0,2.7493333096183945,0.0,4.698033688460983,0.0
洞庭湖流域,2008,5,2,1,1,2.5138871679829977,2.229115326951936,3.5321588955157903,2.2642708873122395
洞庭湖流域,2009,5,0,0,0,2.436680330167455,0.0,3.247919335037761,0.0
洞庭湖流域,2010,2,1,0,1,1.8227583689727864,2.04421866654587,2.391103937917264,2.04421866654587
洞庭湖流域,2011,7,1,1,1,3.219163281082183,1.8630520863577975,4.405229924993327,1.8630520863577975
洞庭湖流域,2012,1,2,0,0,2.0368054778347475,2.336737807010729,2.0368054778347475,2.459051424010468
洞庭湖流域,2013,3,3,2,0,2.8853667219471153,1.9367492714486494,4.838111361719289,2.6162692498209017
洞庭湖流域,2014,1,4,0,0,2.893925616590651,1.7377716976401736,2.893925616590651,2.113442753016504
